Experiment,Model,Scaling,SMOTE,Accuracy,Precision,Recall,F1,ROC_AUC,CV_ROC_AUC,Comments
E1,Logistic Regression,Yes,No,0.919483602425898,0.5375722543352601,0.0187311178247734,0.0362008563643441,0.7587374310755073,0.7538311211936375,Baseline Model
E2,Logistic Regression (Balanced),Yes,No,0.6959985691754874,0.166310264385692,0.6892245720040282,0.2679613170979993,0.7590268887411926,0.754766425032656,Applied class_weight='balanced'
E4,Decision Tree,No,No,0.8548688681852917,0.1518720337493408,0.1740181268882175,0.1621926037169138,0.5443386470869684,0.5388560335197747,Baseline Decision Tree
E5,Decision Tree (Optimized),No,No,0.5969139716761784,0.1222755677488187,0.6463242698892245,0.2056458072991765,0.6624344553157611,0.6598500909478752,RandomizedSearchCV Optimized
E6,Random Forest,No,No,0.917613774937808,0.4161184210526316,0.050956696878147,0.0907949040014354,0.7493503001679627,0.744221183542968,Baseline Random Forest
E7,Random Forest (Optimized),No,No,0.919288489992358,1.0,0.0002014098690835,0.0004027386226339,0.7516579158570712,0.7503351333385961,RandomizedSearchCV Optimized
E8,XGBoost,No,No,0.9197274929678227,0.5451612903225806,0.0340382678751258,0.0640758293838862,0.7685864032414528,0.7637733622089995,Baseline XGBoost
E9,XGBoost (Threshold = 0.20),No,No,0.8861681543989725,0.3058733790999237,0.3230614300100705,0.3142325399157606,0.7685864032414528,0.7637733622089995,Threshold Optimized (0.20)
E10,XGBoost (Optimized),No,No,0.9200039022486708,0.5795053003533569,0.0330312185297079,0.0625,0.7710618925495555,0.7671618212495162,RandomizedSearchCV Optimized
E11,XGBoost (Optimized + Threshold = 0.15),No,No,0.8497309074354097,0.2547310471384333,0.4473313192346425,0.3246126863490207,0.7710618925495555,0.7671618212495162,Threshold Optimized (0.15)
E12,LightGBM,No,No,0.7295091296359527,0.1805791231047129,0.6644511581067473,0.2839803735904278,0.7690283575106756,0.7624619057757641,Baseline LightGBM
E14,LightGBM (Optimized + Threshold = 0.65),No,No,0.848641529681479,0.2524504217004787,0.446122860020141,0.32243976999781643,0.7689940304121137,0.7646918079066231,Threshold Optimized (0.65)
