Threshold,Accuracy,Precision,Recall,F1 Score
0.1,0.12048192771084337,0.08377389182594551,0.9957703927492447,0.15454588080836498
0.15,0.1921207095588833,0.0894502992692689,0.9812688821752266,0.16395483838400834
0.2,0.28170983529258736,0.09784213980964883,0.9607250755287009,0.1775974086415846
0.25,0.37212818886883564,0.10733039277462718,0.9262839879154079,0.1923704354373196
0.3,0.4592784091832919,0.11909955031370331,0.8908358509566969,0.21010878343071587
0.35,0.5377786449441491,0.13167561458038993,0.8447129909365559,0.22783572359843546
0.4,0.6078402679544087,0.14553260789103561,0.7919436052366566,0.24588062408154332
0.45,0.6694470188446092,0.16089163540057383,0.7341389728096677,0.26393917451122373
0.5,0.7245175032112254,0.17904608788853163,0.6729103726082578,0.28283597883597883
0.55,0.7712469310440141,0.19842321452232675,0.6032225579053374,0.29861907373248914
0.6,0.8131310667772303,0.22334293948126802,0.5307150050352467,0.3143828670285748
0.6,0.8131310667772303,0.22334293948126802,0.5307150050352467,0.3143828670285748
0.65,0.848641529681479,0.2524504217004787,0.446122860020141,0.32243976999781643
0.7,0.8754369705542819,0.28521351179094967,0.3605236656596173,0.31847700382528243
0.75,0.8975171942832056,0.3316557624559638,0.26545820745216514,0.29488757131670207
0.8,0.911110027153147,0.387342908438061,0.17381671701913393,0.23995551230362852
0.85,0.9185405589971221,0.47562296858071507,0.08841893252769385,0.14911684782608695
0.9,0.9199388647708242,0.632258064516129,0.01973816717019134,0.03828125
