Threshold,Accuracy,Precision,Recall,F1 Score
0.1,0.7676698697624507,0.19813519813519814,0.6163141993957704,0.2998677054240776
0.15,0.8497309074354097,0.2547310471384333,0.4473313192346425,0.32461268634902074
0.2,0.886135635660049,0.3035094485152333,0.3170191339375629,0.31011722982957346
0.25,0.9038746077427118,0.353360173428306,0.22980866062437058,0.2784964608249939
0.3,0.9123619986016942,0.3940149625935162,0.15911379657603222,0.2266857962697274
0.35,0.9170284376371884,0.44659442724458204,0.1162134944612286,0.1844334345533003
0.4,0.9190771181893567,0.4928400954653938,0.08318227593152064,0.14234016887816647
0.45,0.9199551241402858,0.541501976284585,0.05518630412890232,0.10016450374702979
0.5,0.9200039022486708,0.5795053003533569,0.03303121852970796,0.0625
0.55,0.9197925304456693,0.5909090909090909,0.02094662638469285,0.040459054658626724
0.6,0.9198738272929776,0.6989247311827957,0.013091641490433032,0.025701858442071967
