Column,Data_Type,Missing_Count,Missing_Percentage,Unique_Values
SK_ID_CURR,int64,0,0.0,307511
TARGET,int64,0,0.0,2
NAME_CONTRACT_TYPE,str,0,0.0,2
CODE_GENDER,str,0,0.0,3
FLAG_OWN_CAR,str,0,0.0,2
FLAG_OWN_REALTY,str,0,0.0,2
CNT_CHILDREN,int64,0,0.0,15
AMT_INCOME_TOTAL,float64,0,0.0,2548
AMT_CREDIT,float64,0,0.0,5603
AMT_ANNUITY,float64,12,0.003902299429939092,13672
AMT_GOODS_PRICE,float64,278,0.09040327012692229,1002
NAME_TYPE_SUITE,str,1292,0.42014757195677555,7
NAME_INCOME_TYPE,str,0,0.0,8
NAME_EDUCATION_TYPE,str,0,0.0,5
NAME_FAMILY_STATUS,str,0,0.0,6
NAME_HOUSING_TYPE,str,0,0.0,6
REGION_POPULATION_RELATIVE,float64,0,0.0,81
DAYS_BIRTH,int64,0,0.0,17460
DAYS_EMPLOYED,int64,0,0.0,12574
DAYS_REGISTRATION,float64,0,0.0,15688
DAYS_ID_PUBLISH,int64,0,0.0,6168
OWN_CAR_AGE,float64,202929,65.9908100848425,62
FLAG_MOBIL,int64,0,0.0,2
FLAG_EMP_PHONE,int64,0,0.0,2
FLAG_WORK_PHONE,int64,0,0.0,2
FLAG_CONT_MOBILE,int64,0,0.0,2
FLAG_PHONE,int64,0,0.0,2
FLAG_EMAIL,int64,0,0.0,2
OCCUPATION_TYPE,str,96391,31.345545362604916,18
CNT_FAM_MEMBERS,float64,2,0.0006503832383231819,17
REGION_RATING_CLIENT,int64,0,0.0,3
REGION_RATING_CLIENT_W_CITY,int64,0,0.0,3
WEEKDAY_APPR_PROCESS_START,str,0,0.0,7
HOUR_APPR_PROCESS_START,int64,0,0.0,24
REG_REGION_NOT_LIVE_REGION,int64,0,0.0,2
REG_REGION_NOT_WORK_REGION,int64,0,0.0,2
LIVE_REGION_NOT_WORK_REGION,int64,0,0.0,2
REG_CITY_NOT_LIVE_CITY,int64,0,0.0,2
REG_CITY_NOT_WORK_CITY,int64,0,0.0,2
LIVE_CITY_NOT_WORK_CITY,int64,0,0.0,2
ORGANIZATION_TYPE,str,0,0.0,58
EXT_SOURCE_1,float64,173378,56.381072546998325,114584
EXT_SOURCE_2,float64,660,0.21462646864665005,119831
EXT_SOURCE_3,float64,60965,19.825307062186393,814
APARTMENTS_AVG,float64,156061,50.74972927797705,2339
BASEMENTAREA_AVG,float64,179943,58.51595552679416,3780
YEARS_BEGINEXPLUATATION_AVG,float64,150007,48.781019215572776,285
YEARS_BUILD_AVG,float64,204488,66.49778381911543,149
COMMONAREA_AVG,float64,214865,69.87229725115525,3181
ELEVATORS_AVG,float64,163891,53.29597965601231,257
ENTRANCES_AVG,float64,154828,50.3487680115508,285
FLOORSMAX_AVG,float64,153020,49.76082156410665,403
FLOORSMIN_AVG,float64,208642,67.84862980511267,305
LANDAREA_AVG,float64,182590,59.376737742714894,3527
LIVINGAPARTMENTS_AVG,float64,210199,68.35495315614726,1868
LIVINGAREA_AVG,float64,154350,50.193326417591564,5199
NONLIVINGAPARTMENTS_AVG,float64,213514,69.43296337366793,386
NONLIVINGAREA_AVG,float64,169682,55.17916432257708,3290
APARTMENTS_MODE,float64,156061,50.74972927797705,760
BASEMENTAREA_MODE,float64,179943,58.51595552679416,3841
YEARS_BEGINEXPLUATATION_MODE,float64,150007,48.781019215572776,221
YEARS_BUILD_MODE,float64,204488,66.49778381911543,154
COMMONAREA_MODE,float64,214865,69.87229725115525,3128
ELEVATORS_MODE,float64,163891,53.29597965601231,26
ENTRANCES_MODE,float64,154828,50.3487680115508,30
FLOORSMAX_MODE,float64,153020,49.76082156410665,25
FLOORSMIN_MODE,float64,208642,67.84862980511267,25
LANDAREA_MODE,float64,182590,59.376737742714894,3563
LIVINGAPARTMENTS_MODE,float64,210199,68.35495315614726,736
LIVINGAREA_MODE,float64,154350,50.193326417591564,5301
NONLIVINGAPARTMENTS_MODE,float64,213514,69.43296337366793,167
NONLIVINGAREA_MODE,float64,169682,55.17916432257708,3327
APARTMENTS_MEDI,float64,156061,50.74972927797705,1148
BASEMENTAREA_MEDI,float64,179943,58.51595552679416,3772
YEARS_BEGINEXPLUATATION_MEDI,float64,150007,48.781019215572776,245
YEARS_BUILD_MEDI,float64,204488,66.49778381911543,151
COMMONAREA_MEDI,float64,214865,69.87229725115525,3202
ELEVATORS_MEDI,float64,163891,53.29597965601231,46
ENTRANCES_MEDI,float64,154828,50.3487680115508,46
FLOORSMAX_MEDI,float64,153020,49.76082156410665,49
FLOORSMIN_MEDI,float64,208642,67.84862980511267,47
LANDAREA_MEDI,float64,182590,59.376737742714894,3560
LIVINGAPARTMENTS_MEDI,float64,210199,68.35495315614726,1097
LIVINGAREA_MEDI,float64,154350,50.193326417591564,5281
NONLIVINGAPARTMENTS_MEDI,float64,213514,69.43296337366793,214
NONLIVINGAREA_MEDI,float64,169682,55.17916432257708,3323
FONDKAPREMONT_MODE,str,210295,68.38617155158677,4
HOUSETYPE_MODE,str,154297,50.176091261776,3
TOTALAREA_MODE,float64,148431,48.26851722377411,5116
WALLSMATERIAL_MODE,str,156341,50.8407829313423,7
EMERGENCYSTATE_MODE,str,145755,47.39830445089769,2
OBS_30_CNT_SOCIAL_CIRCLE,float64,1021,0.3320206431639844,33
DEF_30_CNT_SOCIAL_CIRCLE,float64,1021,0.3320206431639844,10
OBS_60_CNT_SOCIAL_CIRCLE,float64,1021,0.3320206431639844,33
DEF_60_CNT_SOCIAL_CIRCLE,float64,1021,0.3320206431639844,9
DAYS_LAST_PHONE_CHANGE,float64,1,0.00032519161916159093,3773
FLAG_DOCUMENT_2,int64,0,0.0,2
FLAG_DOCUMENT_3,int64,0,0.0,2
