Feature,Type,Missing %,Unique Values
SK_ID_CURR,int64,0.0,307511
TARGET,int64,0.0,2
NAME_CONTRACT_TYPE,str,0.0,2
CODE_GENDER,str,0.0,3
FLAG_OWN_CAR,str,0.0,2
FLAG_OWN_REALTY,str,0.0,2
CNT_CHILDREN,int64,0.0,15
AMT_INCOME_TOTAL,float64,0.0,2548
AMT_CREDIT,float64,0.0,5603
AMT_ANNUITY,float64,0.0,13672
AMT_GOODS_PRICE,float64,0.09,1002
NAME_TYPE_SUITE,str,0.42,7
NAME_INCOME_TYPE,str,0.0,8
NAME_EDUCATION_TYPE,str,0.0,5
NAME_FAMILY_STATUS,str,0.0,6
NAME_HOUSING_TYPE,str,0.0,6
REGION_POPULATION_RELATIVE,float64,0.0,81
DAYS_BIRTH,int64,0.0,17460
DAYS_EMPLOYED,int64,0.0,12574
DAYS_REGISTRATION,float64,0.0,15688
DAYS_ID_PUBLISH,int64,0.0,6168
OWN_CAR_AGE,float64,65.99,62
FLAG_MOBIL,int64,0.0,2
FLAG_EMP_PHONE,int64,0.0,2
FLAG_WORK_PHONE,int64,0.0,2
FLAG_CONT_MOBILE,int64,0.0,2
FLAG_PHONE,int64,0.0,2
FLAG_EMAIL,int64,0.0,2
OCCUPATION_TYPE,str,31.35,18
CNT_FAM_MEMBERS,float64,0.0,17
REGION_RATING_CLIENT,int64,0.0,3
REGION_RATING_CLIENT_W_CITY,int64,0.0,3
WEEKDAY_APPR_PROCESS_START,str,0.0,7
HOUR_APPR_PROCESS_START,int64,0.0,24
REG_REGION_NOT_LIVE_REGION,int64,0.0,2
REG_REGION_NOT_WORK_REGION,int64,0.0,2
LIVE_REGION_NOT_WORK_REGION,int64,0.0,2
REG_CITY_NOT_LIVE_CITY,int64,0.0,2
REG_CITY_NOT_WORK_CITY,int64,0.0,2
LIVE_CITY_NOT_WORK_CITY,int64,0.0,2
ORGANIZATION_TYPE,str,0.0,58
EXT_SOURCE_1,float64,56.38,114584
EXT_SOURCE_2,float64,0.21,119831
EXT_SOURCE_3,float64,19.83,814
APARTMENTS_AVG,float64,50.75,2339
BASEMENTAREA_AVG,float64,58.52,3780
YEARS_BEGINEXPLUATATION_AVG,float64,48.78,285
YEARS_BUILD_AVG,float64,66.5,149
COMMONAREA_AVG,float64,69.87,3181
ELEVATORS_AVG,float64,53.3,257
ENTRANCES_AVG,float64,50.35,285
FLOORSMAX_AVG,float64,49.76,403
FLOORSMIN_AVG,float64,67.85,305
LANDAREA_AVG,float64,59.38,3527
LIVINGAPARTMENTS_AVG,float64,68.35,1868
LIVINGAREA_AVG,float64,50.19,5199
NONLIVINGAPARTMENTS_AVG,float64,69.43,386
NONLIVINGAREA_AVG,float64,55.18,3290
APARTMENTS_MODE,float64,50.75,760
BASEMENTAREA_MODE,float64,58.52,3841
YEARS_BEGINEXPLUATATION_MODE,float64,48.78,221
YEARS_BUILD_MODE,float64,66.5,154
COMMONAREA_MODE,float64,69.87,3128
ELEVATORS_MODE,float64,53.3,26
ENTRANCES_MODE,float64,50.35,30
FLOORSMAX_MODE,float64,49.76,25
FLOORSMIN_MODE,float64,67.85,25
LANDAREA_MODE,float64,59.38,3563
LIVINGAPARTMENTS_MODE,float64,68.35,736
LIVINGAREA_MODE,float64,50.19,5301
NONLIVINGAPARTMENTS_MODE,float64,69.43,167
NONLIVINGAREA_MODE,float64,55.18,3327
APARTMENTS_MEDI,float64,50.75,1148
BASEMENTAREA_MEDI,float64,58.52,3772
YEARS_BEGINEXPLUATATION_MEDI,float64,48.78,245
YEARS_BUILD_MEDI,float64,66.5,151
COMMONAREA_MEDI,float64,69.87,3202
ELEVATORS_MEDI,float64,53.3,46
ENTRANCES_MEDI,float64,50.35,46
FLOORSMAX_MEDI,float64,49.76,49
FLOORSMIN_MEDI,float64,67.85,47
LANDAREA_MEDI,float64,59.38,3560
LIVINGAPARTMENTS_MEDI,float64,68.35,1097
LIVINGAREA_MEDI,float64,50.19,5281
NONLIVINGAPARTMENTS_MEDI,float64,69.43,214
NONLIVINGAREA_MEDI,float64,55.18,3323
FONDKAPREMONT_MODE,str,68.39,4
HOUSETYPE_MODE,str,50.18,3
TOTALAREA_MODE,float64,48.27,5116
WALLSMATERIAL_MODE,str,50.84,7
EMERGENCYSTATE_MODE,str,47.4,2
OBS_30_CNT_SOCIAL_CIRCLE,float64,0.33,33
DEF_30_CNT_SOCIAL_CIRCLE,float64,0.33,10
OBS_60_CNT_SOCIAL_CIRCLE,float64,0.33,33
DEF_60_CNT_SOCIAL_CIRCLE,float64,0.33,9
DAYS_LAST_PHONE_CHANGE,float64,0.0,3773
FLAG_DOCUMENT_2,int64,0.0,2
FLAG_DOCUMENT_3,int64,0.0,2
FLAG_DOCUMENT_4,int64,0.0,2
FLAG_DOCUMENT_5,int64,0.0,2
FLAG_DOCUMENT_6,int64,0.0,2
FLAG_DOCUMENT_7,int64,0.0,2
FLAG_DOCUMENT_8,int64,0.0,2
FLAG_DOCUMENT_9,int64,0.0,2
FLAG_DOCUMENT_10,int64,0.0,2
FLAG_DOCUMENT_11,int64,0.0,2
FLAG_DOCUMENT_12,int64,0.0,2
FLAG_DOCUMENT_13,int64,0.0,2
FLAG_DOCUMENT_14,int64,0.0,2
FLAG_DOCUMENT_15,int64,0.0,2
FLAG_DOCUMENT_16,int64,0.0,2
FLAG_DOCUMENT_17,int64,0.0,2
FLAG_DOCUMENT_18,int64,0.0,2
FLAG_DOCUMENT_19,int64,0.0,2
FLAG_DOCUMENT_20,int64,0.0,2
FLAG_DOCUMENT_21,int64,0.0,2
AMT_REQ_CREDIT_BUREAU_HOUR,float64,13.5,5
AMT_REQ_CREDIT_BUREAU_DAY,float64,13.5,9
AMT_REQ_CREDIT_BUREAU_WEEK,float64,13.5,9
AMT_REQ_CREDIT_BUREAU_MON,float64,13.5,24
AMT_REQ_CREDIT_BUREAU_QRT,float64,13.5,11
AMT_REQ_CREDIT_BUREAU_YEAR,float64,13.5,25
AGE,float64,0.0,17460
LOG_INCOME,float64,0.0,2548
AGE_GROUP,category,0.0,5
bureau_loan_count,float64,0.0,61
bureau_avg_credit,float64,0.0,209604
bureau_avg_debt,float64,0.0,169333
bureau_avg_overdue_amount,float64,0.0,1873
bureau_max_days_overdue,float64,0.0,868
bureau_total_prolongations,float64,0.0,10
active_loan_count,float64,0.0,23
credit_type_count,float64,0.0,7
prev_application_count,float64,0.0,66
approved_count,float64,0.0,26
refused_count,float64,0.0,46
prev_avg_credit,float64,0.0,210634
prev_avg_annuity,float64,0.0,268978
approval_rate,float64,0.0,362
credit_income_ratio,float64,0.0,48697
annuity_income_ratio,float64,0.0,88811
debt_credit_ratio,float64,0.0,184786
active_loan_ratio,float64,0.0,296
refusal_rate,float64,0.0,397
credit_growth_ratio,float64,0.0,282633
